Taxon Name,Influent_WWTP_1_24_24_MH1_S480,Influent_WWTP_2_1_24_MH1_S340,Influent_WWTP_1_24_24_MH2_S478,Influent_WWTP_1_24_24_MH3_S479,Influent_WWTP_1_24_24_MH4_S476,Influent_WWTP_2_1_24_MH2_S339,Influent_WWTP_2_1_24_MH3_S346,Influent_WWTP_2_1_24_MH4_S341,Influent_WWTP_2_10_24_MH2_S348,Influent_WWTP_2_10_24_MH3_S338,Influent_WWTP_2_10_24_MH4_S337,Influent_WWTP_2_14_24_MH2_S349,Influent_WWTP_2_14_24_MH3_S343,Influent_WWTP_2_14_24_MH4_S342,Influent_WWTP_7_31_23_MH2_S477,Influent_WWTP_7_31_23_MH3_S355,Influent_WWTP_7_31_23_MH4_S347,Influent_WWTP_7_24_23_MH2_S473,Influent_WWTP_7_24_23_MH3_S359,Influent_WWTP_7_24_23_MH4_S358,Influent_WWTP_7_17_23_MH2_S474,Influent_WWTP_7_17_23_MH3_S351,Influent_WWTP_7_17_23_MH4_S350,Influent_WWTP_7_10_23_MH2_S353,Influent_WWTP_7_10_23_MH3_S354
Microbacterium sp. LKL04,373,4,39,19,3,2,4,8,9,8,7,7,5,7,255,47,82,22,22,19,24,44,37,26,16
Qipengyuania sediminis,373,8,17,102,11,,9,5,16,18,13,7,8,4,11,16,23,12,20,5,15,19,48,4,10
Mycolicibacterium sp. TY81,373,5,149,243,13,15,31,23,39,25,22,60,60,29,660,1470,1452,1928,2054,1711,921,1697,2234,1993,1117
Streptococcus mitis,372,173,379,390,119,93,73,154,129,59,24,161,168,187,55,16,17,36,26,86,23,34,24,100,43
Nematostella vectensis,1,,6,,4,1,1,1,2,,2,,1,,5,7,4,1,1,,6,,,,
Rhodanobacter denitrificans,371,56,332,220,117,44,110,62,84,72,56,37,54,72,41,132,122,85,74,65,38,71,112,120,27
Sphingomonas panacis,371,3,87,61,12,4,3,8,38,32,31,13,11,14,15,19,23,39,23,15,11,50,52,42,11
Sinorhizobium sp. RAC02,371,151,1375,550,101,92,122,88,235,240,265,202,232,304,289,301,450,595,349,328,136,308,491,570,262
Cellulomonas sp. PSBB021,371,3,75,49,11,10,9,20,26,34,17,18,12,9,28,40,14,12,12,7,17,38,126,15,16
Planctopirus ephydatiae,371,3,6,3,,5,,4,6,3,,,1,,8,3,5,9,11,7,26,15,19,11,11
Georgenia faecalis,119,1,12,23,6,5,,4,4,12,9,2,8,6,2,33,25,8,12,9,18,37,54,4,15
Kocuria rosea,352,2,45,26,2,4,,,12,9,14,3,3,2,8,16,30,28,13,7,4,28,48,13,14
Nonomuraea gerenzanensis,369,1,16,6,7,3,4,1,5,3,5,3,7,6,5,18,23,29,14,12,19,21,29,10,13
Sinorhizobium americanum,369,4,116,81,7,7,9,10,19,25,22,22,23,22,30,50,90,34,31,34,42,49,43,53,20
Chryseobacterium sp. wdc7,369,40,115,113,150,41,94,102,16,12,28,21,26,30,28,6,10,12,5,6,17,3,7,17,18
Xanthomonas hortorum,130,37,121,93,73,26,39,50,42,26,21,35,25,41,28,42,36,55,65,213,107,44,90,218,53
Pseudoxanthomonas daejeonensis,368,28,357,122,120,28,85,78,51,67,46,37,44,48,12,52,58,98,73,66,49,44,112,41,35
Microlunatus soli,368,5,37,15,3,12,1,6,14,9,7,9,5,1,9,7,8,15,20,5,8,22,36,9,10
Comamonadaceae bacterium M7527,368,15,44,32,39,8,46,26,45,11,11,50,39,25,15,11,10,13,6,12,9,20,9,18,4
Pseudomonas citronellolis,292,138,1854,687,296,160,243,190,429,400,501,157,270,236,184,298,365,131,180,119,131,244,342,158,116
Methylomonas koyamae,13,18,86,36,29,24,14,24,88,35,18,17,20,46,25,49,55,78,42,48,74,51,90,107,108
Rugosibacter aromaticivorans,366,147,191,209,169,78,182,163,49,42,50,85,91,71,133,69,167,1688,113,86,676,176,301,134,1426
Sphingomonas sp. NIC1,366,11,89,89,18,7,18,9,34,14,32,23,15,16,17,15,13,11,29,13,26,45,29,27,8
Kocuria flava,365,,15,8,,2,3,6,5,14,7,4,3,2,11,14,7,8,7,14,4,13,25,24,16
Kocuria sp. ChxB,365,1,9,,2,,,,2,,2,,,,,1,2,2,3,3,1,2,3,3,2
Bacillus subtilis,265,93,1,9,31,11,11,11,86,19,6,118,22,45,20,2,8,16,12,37,26,24,26,8,75
Corynebacterium sphenisci,364,,7,6,,3,2,2,2,1,4,2,3,3,4,16,9,49,15,16,6,11,43,2,3
Comamonas kerstersii,364,207,1184,1121,349,180,353,399,365,153,172,318,230,310,64,123,120,97,86,88,243,119,135,127,52
Microbulbifer thermotolerans,363,19,35,50,8,3,28,11,14,2,9,9,5,5,35,18,31,9,20,4,9,17,25,8,15
Rhodococcus triatomae,363,,1,,,2,,,1,,6,1,2,5,4,21,23,8,7,8,6,13,19,23,12
Methylogaea oryzae,363,36,78,56,52,20,28,17,26,22,10,20,30,25,34,45,50,41,42,41,38,66,59,56,34
Cellulomonas sp. NS3,363,11,82,32,16,9,4,6,16,25,25,9,11,13,8,24,29,14,19,15,14,36,32,7,21
Burkholderia pyrrocinia,362,22,78,148,43,33,41,43,30,21,36,12,39,25,24,37,50,63,17,22,50,53,71,34,36
Brevibacterium aurantiacum,3,7,124,40,31,8,2,8,14,7,4,12,13,15,107,68,72,44,28,21,16,29,64,25,47
Burkholderia seminalis,362,3,12,25,3,11,18,23,17,17,9,2,11,7,5,8,17,54,16,3,15,26,21,5,5
Sediminibacterium sp. TEGAF015,362,29,48,71,45,21,58,33,33,14,9,22,34,23,7,14,17,10,14,14,11,57,24,18,25
Empedobacter stercoris,3,426,683,1262,856,419,535,676,651,308,61,838,520,349,49,22,18,24,27,20,31,31,14,20,63
Microbacterium cremeum,362,4,82,67,6,7,11,8,28,15,19,12,7,26,543,129,249,26,34,36,26,142,28,69,52
Paracoccus everestensis,135,24,279,247,32,19,22,12,35,47,41,31,36,36,11,19,28,30,28,28,26,36,42,17,17
Chondromyces crocatus,65,4,27,32,15,7,18,6,31,23,13,17,21,15,21,25,22,40,15,22,28,18,41,14,33
Ruegeria pomeroyi,361,7,226,243,20,19,26,22,43,34,28,45,34,33,19,50,51,200,43,30,34,82,106,45,13
Micromonospora sp. WMMD1076,361,,3,2,,,2,,2,1,,1,,,,1,4,2,3,2,,2,6,,
Micromonospora terminaliae,360,4,10,17,,,,5,4,,2,,,1,5,22,14,9,7,2,2,54,27,9,4
Pseudomonas oryziphila,360,43,597,208,43,30,49,63,191,125,165,54,67,52,33,27,55,15,11,37,3,44,30,26,16
Conomelus anceps,359,3,1,6,1,2,3,1,8,3,9,5,,,8,3,1,4,1,1,2,4,8,5,
Spirosomataceae bacterium TFI 002,182,37,6,,23,5,9,22,5,4,4,3,4,5,7,2,16,3,24,5,,19,7,21,5
Microbacterium luteolum,358,6,79,50,7,3,1,3,6,4,3,7,4,6,145,33,65,12,9,8,15,44,18,13,15
Blautia wexlerae,357,1544,607,1819,1071,1576,1820,1364,1071,1098,594,1986,1975,1685,23,30,44,82,66,95,68,106,54,110,160
Nocardioides mesophilus,357,3,40,9,11,4,11,9,2,20,17,6,3,4,19,30,24,20,11,14,27,57,70,26,8
Sphingobium sp. RSMS,357,5,138,58,4,3,7,3,8,15,13,6,12,12,7,20,17,23,14,14,31,49,92,38,11
Acinetobacter sp. Tol 5,357,28,411,408,103,27,37,80,87,213,138,69,114,81,,,,3,,2,,,,,
Cellvibrio sp. KY-GH-1,357,29,31,191,31,27,41,21,45,46,28,8,23,12,3,4,6,9,8,2,10,1,13,4,7
Sulfitobacter sp. THAF37,357,4,35,29,5,6,9,6,19,16,19,13,3,34,16,33,21,20,32,11,10,28,52,19,14
Erythrobacter sp. 3-20A1M,357,4,41,27,4,5,2,3,8,3,3,,2,4,7,3,11,2,6,7,5,25,35,,6
Flavobacterium eburneipallidum,357,508,654,706,1190,354,1103,1022,461,658,1027,597,1055,670,33,11,17,33,20,21,6,20,12,27,22
Mycobacterium spongiae,356,,,4,,1,,,,,,,,2,5,1,3,4,2,10,8,10,2,4,2
Aeromonas phage phiA005,126,260,23,2,163,142,161,145,18,1,1,105,55,48,42,25,6,13,11,5,45,11,10,39,29
Haliscomenobacter hydrossis,348,15,43,19,38,11,28,34,10,13,12,15,26,11,32,47,25,25,12,20,45,28,40,19,31
Bradyrhizobium genosp. L,355,7,71,12,14,13,14,4,12,8,7,8,8,9,32,64,43,37,52,42,18,41,72,49,35
Comamonas koreensis,355,186,882,489,312,160,293,291,208,156,154,190,161,244,118,102,155,88,331,64,120,140,188,95,241
Roseburia hominis,355,513,699,1494,401,610,513,453,660,635,345,1070,1304,800,22,18,17,32,47,30,45,29,41,53,42
Halomonas titanicae,101,17,5,39,7,11,11,50,17,10,6,3,8,8,11,16,11,2,4,6,26,16,53,8,4
Porphyromonadaceae bacterium,1,226,238,263,203,165,155,197,105,142,64,152,334,279,25,11,33,1,8,5,11,10,8,4,53
Conexibacter sp. SYSU D00693,355,2,85,3,1,2,9,2,6,2,,2,3,4,10,13,15,8,9,9,9,9,28,15,5
Jiella pelagia,355,13,116,104,12,9,12,4,25,10,13,16,11,15,23,38,22,53,38,27,30,33,46,40,26
Mycobacterium malmoense,354,3,11,27,2,,,6,3,3,,3,2,4,13,13,41,20,30,17,20,25,35,25,16
Methylomonas paludis,354,7,9,13,2,8,8,4,7,5,,7,2,3,24,24,19,28,11,12,6,13,29,24,14
Alkalimarinus sediminis,354,19,72,47,38,23,31,38,25,39,33,28,25,38,6,1,5,,,2,15,3,9,2,2
Polaromonas sp. H8N,185,4,93,61,4,,1,4,3,5,7,16,8,9,1,2,1,22,2,5,4,2,5,,1
Pleomorphomonas sp. SM30,354,51,294,179,37,29,32,37,54,54,69,37,52,67,141,290,246,178,253,161,118,167,303,151,72
Sulfurivermis fontis,354,48,162,124,58,36,61,82,41,64,39,46,29,79,94,93,105,345,162,99,118,181,192,142,592
Pseudooceanicola algae,353,7,86,41,13,8,10,3,13,14,16,8,13,12,16,25,34,12,27,18,19,39,75,17,14
Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,353,,3,13,,,,,4,,,,4,1,12,,4,3,1,3,11,,10,3,1
Cytophaga hutchinsonii,352,63,59,21,151,54,143,197,31,38,32,19,37,33,24,5,20,22,15,10,5,34,28,24,19
Aeromonas rivipollensis,352,117231,50474,24254,62567,97064,57738,68569,47098,23917,22658,113925,80459,81285,2,13,9,15,21,9,12,2,9,31,70
Flavobacterium ammonificans,352,361,433,534,858,281,659,608,277,491,674,353,502,386,8,4,8,28,3,11,12,25,23,10,41
Tropicibacter oceani,352,11,98,105,19,4,14,12,15,23,31,15,29,18,11,27,31,42,23,30,11,35,75,26,7
Pseudomonas yamanorum,351,43,501,152,79,44,61,70,273,137,227,62,129,82,77,97,145,179,78,14,117,51,25,27,340
Litorilituus sediminis,351,4,17,14,8,6,5,4,1,5,,2,,3,7,263,1283,,2,3,11,7,1,5,1
Pseudarthrobacter sp. NBSH8,351,,4,6,,,2,1,,,,,1,,,4,2,,3,1,,,1,1,3
Limnoglobus roseus,241,10,48,50,2,9,2,26,12,11,10,8,10,15,51,88,76,62,45,24,386,38,79,47,51
Cystobacter fuscus,350,12,30,51,8,5,16,10,17,15,9,7,20,16,59,52,33,228,51,37,18,27,48,43,41
Sanguibacter keddieii,350,11,79,90,3,4,8,12,25,71,39,19,10,15,5,18,22,23,14,5,8,23,33,6,13
Streptomyces seoulensis,350,8,30,21,3,4,5,5,7,7,7,,3,2,3,44,35,23,31,14,20,19,49,15,8
Pseudomonas simiae,301,27,975,333,58,22,67,51,661,425,698,99,112,138,47,44,76,36,26,17,19,52,16,73,12
Flavobacterium sp. KBS0721,350,308,379,344,1206,196,1034,1080,348,671,1228,442,924,550,18,4,14,6,14,19,13,9,20,285,21
Pamexvirus PaMx74,198,9,55,64,12,21,5,11,57,6,2,24,26,36,185,443,139,123,135,88,174,39,64,104,47
Streptomyces caniscabiei,7,,1,,,,2,1,1,1,5,,1,,4,8,4,1,3,3,11,4,9,,6
Virus NIOZ-UU157,350,1,,8,3,,,2,,,,,,,2,,,,,,,,,,2
Noviherbaspirillum sp. UKPF54,239,49,258,131,74,65,91,85,71,107,103,37,73,133,125,81,127,144,59,59,173,143,175,254,175
Inhella inkyongensis,348,78,179,190,112,54,127,148,165,121,121,68,97,116,57,82,96,87,49,24,45,131,95,86,136
Comamonas sp. 7D-2,348,72,96,193,50,90,71,54,250,48,48,43,38,51,49,16,14,19,17,11,10,55,30,10,12
Sphingomonas sp. AAP5,348,7,80,101,3,2,12,11,72,40,48,9,7,13,44,20,29,36,22,11,31,36,30,43,4
Collimonas pratensis,347,29,91,165,63,26,79,44,64,36,57,31,44,42,64,50,89,79,45,44,748,90,88,74,60
Citrobacter portucalensis,346,757,799,1073,378,457,463,624,575,166,305,438,207,955,900,9,11,887,9,42,61,2,13,51,31
Epistylis sp.,346,1,,,4,2,,,1,,1,,1,,,,,,,,,,,,
Flavobacterium sp. I3-2,346,138,269,301,488,97,339,361,55,105,115,55,213,105,30,8,13,18,11,11,12,13,11,14,17
Gordonia sp. L191,346,1,9,24,1,,3,2,2,,3,3,,1,4,8,13,11,4,9,7,19,33,8,2
Marinobacterium rhizophilum,345,12,41,18,9,19,11,22,27,9,11,9,12,3,31,10,20,20,13,13,13,10,19,26,10
Achromobacter deleyi,345,76,170,504,86,47,137,114,63,83,87,89,69,123,151,108,170,74,69,76,63,91,163,89,43
Phycisphaeraceae bacterium,2,7,47,56,17,8,16,15,11,14,12,8,8,19,72,168,99,79,103,71,76,65,83,64,54
Altererythrobacter sp. TH136,345,9,124,95,5,2,5,5,22,19,17,3,5,9,14,17,12,20,18,20,31,43,105,11,6
Bradyrhizobium sp. PSBB068,345,11,31,22,9,5,8,3,14,15,15,14,7,16,26,46,53,33,61,25,28,78,62,40,26
Pengzhenrongella sicca,345,1,68,16,2,4,6,5,11,33,12,7,9,6,5,35,24,4,15,10,10,40,35,9,11
Sulfuriferula sp. AH1,344,40,247,276,44,32,40,49,110,51,24,107,37,80,191,145,87,240,231,50,207,75,101,161,253
Methanolinea sp.,344,30,223,128,31,50,25,38,24,39,44,24,24,12,8,13,17,157,183,161,599,2093,3055,96,62
Streptococcus sp. 116-D4,344,11,14,28,20,,9,17,16,4,,14,6,28,8,,,6,8,2,7,5,1,2,5
Anaeromyxobacter paludicola,344,8,158,72,8,10,17,19,23,29,26,10,25,31,37,45,50,106,88,52,21,78,98,49,72
Acinetobacter sp. C32I,344,77,481,801,119,92,146,147,94,285,306,98,179,154,1,2,7,3,6,1,,9,8,,
Ferriphaselus amnicola,163,18,62,43,27,34,34,58,24,21,27,30,49,15,40,40,52,2123,2107,181,1338,127,449,694,553
Paucibacter sp. KCTC 42545,232,168,707,362,223,106,283,218,376,536,568,156,200,170,65,103,134,1914,79,59,132,163,157,126,106
Martelella sp. NC20,343,2,25,13,14,8,5,6,11,10,7,5,7,7,4,66,16,167,21,6,254,15,41,19,11
Xanthomonas fragariae,342,8,14,17,27,7,25,4,17,7,7,5,16,7,39,15,83,17,9,9,25,17,51,19,26
Pseudomonas rhodesiae,4,45,4812,471,298,67,289,129,866,600,597,190,1068,246,1178,426,233,304,37,70,662,289,124,139,49
Sphingopyxis alaskensis,342,17,242,214,83,30,55,79,61,50,49,47,55,50,35,72,63,96,74,51,59,89,121,58,18
Mycobacterium noviomagense,342,,20,4,2,,,,8,3,,1,,,20,13,31,22,27,10,4,14,21,17,3
Citromicrobium sp. JL477,342,9,63,54,3,4,6,6,9,10,6,6,7,3,7,22,13,22,7,7,35,28,54,10,5
Porphyrobacter sp. LM 6,342,5,103,43,19,2,14,12,21,7,14,7,13,19,3,12,23,9,14,8,38,70,112,19,15
Saccharothrix sp. AJ9571,342,1,8,14,,,2,2,5,2,6,1,,5,2,14,9,11,4,3,8,16,24,9,10
Actinopolymorpha singaporensis,341,,24,28,5,2,2,1,3,3,12,,1,4,4,9,13,7,13,5,14,19,29,10,3
Thioalkalivibrio sulfidiphilus,341,26,133,67,26,14,49,33,44,27,35,31,48,27,35,74,80,165,42,65,38,74,102,63,183
Rhizobium sp. X9,341,16,321,155,17,27,14,11,44,45,41,51,31,65,57,58,83,46,46,58,23,89,75,67,18
Acidihalobacter yilgarnensis,341,16,64,42,22,15,15,27,24,14,27,26,15,16,50,40,55,45,26,22,56,58,40,71,26
Leucobacter tenebrionis,341,2,82,45,3,8,4,3,27,6,13,13,12,4,164,48,58,56,23,24,17,36,35,22,14
Flavobacterium sp. ZE23DGlu08,341,528,1530,1520,2384,546,1941,1816,741,947,1541,934,1332,984,19,8,20,17,19,42,35,18,36,29,102
Halorhodospira halophila,340,7,9,12,2,6,9,4,5,4,6,7,2,2,99,31,73,20,30,11,26,36,91,19,14
Thermomonospora amylolytica,340,,41,9,4,3,4,4,7,4,1,8,1,7,10,12,16,5,12,10,20,21,43,9,11
Betaproteobacteria bacterium GR16-43,340,16,162,87,38,18,51,21,62,26,48,22,47,31,32,45,54,241,31,29,92,82,76,36,20
Roseimicrobium sp. ORNL1,340,13,67,38,38,17,10,14,20,24,20,49,43,52,91,43,58,28,56,30,74,58,92,41,33
Chryseobacterium sp. MMS21-Ot14,340,9,18,38,43,20,23,20,4,3,10,7,19,18,1,2,4,1,2,5,14,6,3,9,7
Tessaracoccus sp. T21,340,49,700,192,90,45,98,88,58,64,50,70,86,142,32,78,65,123,94,81,76,108,133,128,121
Actinoplanes missouriensis,339,,39,12,1,,,2,3,4,4,1,4,2,5,14,15,9,21,4,5,36,18,16,4
Bradyrhizobium cosmicum,339,7,25,22,12,4,8,8,19,6,32,13,17,20,31,97,55,37,77,24,112,41,68,70,34
Pseudomonas saudimassiliensis,339,14,202,91,26,13,18,17,39,20,40,10,29,28,3,14,37,11,86,3,259,14,28,86,29
Klebsiella sp. RHBSTW-00484,339,1134,733,383,1023,2041,745,1071,2187,55,145,457,106,198,86,5,2,3,3,4,11,1,5,42,3
Desulfovibrio sp. JY,339,22,86,180,11,43,16,17,24,5,8,31,17,13,256,392,415,622,554,437,406,229,295,230,176
Amycolatopsis keratiniphila,338,,31,1,,3,3,,2,2,6,4,,,27,6,12,139,6,17,13,35,26,16,289
Achromobacter sp. AONIH1,338,58,379,270,98,53,157,135,84,103,74,120,73,72,53,117,110,104,68,41,144,123,123,76,93
Microbacterium sp. Y-01,338,4,25,68,10,13,6,6,17,13,7,4,5,7,223,59,82,30,20,36,35,69,22,34,22
Azospirillum thiophilum,82,17,127,34,13,13,24,18,41,30,42,16,26,18,96,128,92,242,75,34,44,70,103,312,44
Ornithinimicrobium pratense,337,3,22,15,2,3,8,1,4,2,2,6,3,3,3,8,17,18,14,10,19,54,85,5,3
Comamonas sp. NLF-1-9,337,151,766,682,183,140,256,190,221,107,205,166,142,153,207,357,419,506,406,320,215,335,598,388,238
Devosia sp. JXJ CY 41,337,5,49,46,2,4,3,5,23,17,11,19,20,15,63,47,66,78,56,50,27,48,87,59,26
Methylomonas rapida,337,9,52,33,22,14,13,8,12,7,12,10,18,14,42,26,17,29,10,8,17,39,32,30,28
Brooklawnia sp. SH051,337,21,206,231,64,32,25,80,58,43,34,42,31,25,39,57,65,67,96,67,43,101,133,92,82
Treponema pedis,10,4,,,2,1,2,7,,,3,1,1,,5,4,,4,1,14,,2,1,5,3
uncultured Candidatus Competibacter sp.,336,,,,,,,,,,,,,,,,2,,,,1,5,1,,1
Duncaniella sp. B8,336,34,20,22,19,40,16,32,14,10,9,42,42,42,1,2,6,2,18,10,11,12,6,10,5
Sphingomonas sp. NBWT7,336,11,89,118,13,4,9,16,35,22,33,8,12,10,21,18,16,20,17,13,15,24,56,24,10
Azospirillum argentinense,311,30,181,103,22,35,37,37,44,26,30,86,59,57,685,171,81,474,277,83,611,80,145,277,80
Streptomyces noursei,335,4,22,7,2,4,4,5,6,11,3,3,4,3,10,28,23,15,8,15,100,70,44,21,9
Bordetella genomosp. 9,40,14,410,46,17,16,118,36,14,18,28,20,30,16,29,32,45,19,34,30,44,36,59,46,29
Streptomyces sp. HM190,335,,12,5,4,,,,1,1,,,3,,2,2,5,2,5,5,,10,9,3,1
Massilia sp. PAMC28688,335,19,151,77,33,19,30,27,103,75,82,24,37,31,18,26,33,68,24,21,19,43,41,29,26
Microbacterium hydrocarbonoxydans,291,2,15,16,3,,5,,2,2,6,4,5,1,135,34,50,5,4,11,12,37,19,10,24
Burkholderia sp. FERM BP-3421,334,13,60,82,16,15,22,13,19,18,22,20,34,8,23,20,25,18,28,16,5,19,30,20,22
Methylomonas denitrificans,334,6,33,7,23,13,10,18,27,69,40,21,14,13,31,42,23,17,13,5,69,44,71,116,49
Nordella sp. HKS 07,195,15,101,127,11,15,16,9,31,33,26,16,32,27,45,70,99,47,78,39,21,74,125,62,33
Actinacidiphila bryophytorum,333,4,10,3,3,5,3,1,5,1,1,,,,5,16,10,4,6,6,10,8,19,4,4
Cellulomonas sp. NTE-D12,333,6,72,10,4,2,4,8,10,15,3,8,5,11,2,37,33,11,7,7,6,18,46,12,8
Pseudomonas sp. SO81,333,83,1157,528,231,91,221,211,261,279,374,104,208,189,118,93,186,21,56,50,45,113,59,56,58
Nocardia nova,129,1,18,21,3,4,2,3,2,3,3,3,,5,36,32,17,18,17,36,16,30,52,37,9
Nibricoccus aquaticus,187,19,20,157,34,22,22,29,24,17,16,32,44,49,163,124,149,79,133,72,84,127,161,178,96
Methylobacterium currus,330,16,154,47,13,8,13,15,34,21,25,12,20,21,68,54,88,33,42,34,37,49,97,67,49
Candidatus Saccharimonadaceae bacterium ML1,102,6,24,68,6,3,7,3,,1,4,8,1,7,44,4,,18,16,4,28,3,4,16,3
Gulosibacter molinativorax,329,2,18,24,1,4,3,14,8,6,2,4,8,10,77,42,51,15,8,14,9,24,18,12,13
Microbacterium sp. CBA3102,329,3,48,10,,2,6,3,8,4,6,2,1,29,163,59,75,5,6,10,,29,6,19,11
Streptomyces sp. SN-593,328,2,46,,2,1,2,1,5,6,5,2,3,1,6,26,6,12,6,5,8,19,49,8,4
Klebsiella sp. WP7-S18-CRE-03,328,54,40,48,58,166,189,76,108,12,7,790,17,27,44,6,1,15,,,,1,4,,
Frateuria edaphi,328,13,81,30,25,10,13,26,15,14,23,9,20,13,7,12,17,34,19,18,9,18,23,36,11
Anaeromyxobacter sp. Fw109-5,327,7,87,48,19,34,11,14,38,27,28,13,30,13,19,64,57,72,99,55,50,73,126,26,24
Luteimonas granuli,327,31,180,86,55,25,38,46,30,42,30,29,22,40,27,20,51,222,24,34,10,46,41,61,25
Acidovorax sp. GBBC 712,327,20,99,44,18,14,22,19,28,16,26,19,24,16,13,14,29,4,17,6,18,12,22,24,7
Marisediminicola antarctica,326,5,13,11,4,1,2,2,8,3,5,6,,3,65,84,32,169,73,26,236,47,25,104,7
Actinotalea sp. JY-7876,326,5,43,44,7,4,5,2,10,19,15,6,5,3,5,18,37,27,11,10,10,47,45,9,6
Kaistella polysaccharea,326,33,55,102,106,18,90,57,11,14,17,31,19,9,7,2,8,7,9,10,9,8,11,16,7
Aeromicrobium erythreum,325,3,58,71,3,1,4,1,6,6,10,,5,3,12,29,15,8,9,13,2,41,40,24,9
Synechococcus elongatus,325,1,8,,2,2,,,,2,1,3,1,1,13,12,10,45,27,9,8,8,4,5,5
Flavobacterium kingsejongi,325,56,51,119,181,42,136,202,61,79,137,100,87,73,6,2,3,,4,2,3,15,12,10,13
Vescimonas fastidiosa,325,198,540,670,194,165,276,225,303,469,238,367,676,680,70,96,51,145,82,92,63,96,93,128,72
Cupriavidus sp. USMAHM13,324,31,75,134,72,48,35,63,60,41,77,23,75,22,55,61,43,41,42,10,38,76,73,49,47
Rhodospirillaceae bacterium B3,324,3,54,26,15,5,8,14,18,16,8,12,6,28,16,70,57,72,47,52,49,26,44,213,247
Qipengyuania sp. SS22,324,2,15,27,5,1,4,,4,2,8,9,4,7,3,5,10,10,6,8,9,26,36,3,9
Curtobacterium flaccumfaciens,323,6,30,22,4,8,8,7,25,51,34,8,11,16,51,28,46,16,28,13,21,44,48,33,20
Cupriavidus nantongensis,323,103,841,442,143,157,93,142,283,219,162,278,216,185,60,69,118,549,118,115,186,193,350,160,145
Paenarthrobacter sp. YJN-D,323,1,22,22,1,,5,5,9,7,7,9,5,10,2,5,8,12,7,9,4,30,65,22,9
Flavobacterium sp. N2469,323,107,205,268,460,79,269,213,186,168,337,123,216,97,5,6,8,6,9,9,8,12,6,12,12
Janthinobacterium agaricidamnosum,322,128,500,370,88,120,110,105,1841,1059,1319,248,260,243,35,98,144,103,101,53,145,122,176,290,244
Serratia symbiotica,278,25,13,9,12,10,17,12,23,6,8,12,2,28,17,5,15,5,27,2,9,8,14,7,2
Methylobacterium indicum,322,6,88,42,12,9,13,4,13,14,16,11,11,11,30,43,52,23,38,20,27,36,59,53,24
Arthrobacter sp. PGP41,322,,1,3,1,,1,1,,,,,,1,,4,2,,1,,3,3,2,2,
Limnohabitans sp. TEGF004,322,49,91,95,62,37,73,78,52,17,47,51,44,57,26,22,24,28,22,9,15,28,27,21,20
Chromobacterium violaceum,133,155,447,239,230,207,188,201,156,159,138,131,157,175,65,160,169,133,121,115,87,136,203,479,604
Leuconostoc mesenteroides,3,18,106,105,23,28,17,24,46,32,3,53,28,42,8,2,5,1,25,18,6,2,8,10,13
Deinococcus grandis,321,,8,5,5,2,3,6,3,4,2,1,4,7,18,,14,20,9,4,7,14,3,1,4
Bradyrhizobium zhanjiangense,321,5,59,9,10,4,3,8,10,14,8,5,4,6,22,16,18,19,21,18,8,22,26,25,15
Halomonas sp. JS92-SW72,321,24,127,71,7,16,18,10,40,23,15,17,12,16,31,13,18,6,21,12,14,48,68,19,13
Acinetobacter sp. ASP199,321,35,135,387,49,60,96,52,114,191,147,28,74,71,5,4,4,,2,2,,2,1,2,5
Thermomonas paludicola,321,71,296,214,160,46,180,128,79,39,76,56,46,54,112,193,184,204,163,139,154,401,708,173,93
Oleiphilus messinensis,2,9,6,2,5,6,3,5,3,2,5,4,3,3,8,8,31,,4,,2,6,4,6,
Mycobacterium paraseoulense,320,,9,15,4,2,,1,3,5,,7,3,2,2,13,31,30,19,18,16,30,29,11,10
Sphingomonas psychrotolerans,320,7,77,64,7,6,13,4,15,14,14,11,7,10,25,17,24,10,14,28,29,31,41,43,8
Klebsiella grimontii,239,1212,1815,1329,1388,934,835,1632,484,280,277,4045,360,481,32,22,30,34,22,21,11,20,23,14,30
Pseudoduganella armeniaca,320,54,216,102,59,44,46,66,191,276,157,63,58,61,36,75,69,26,32,36,46,88,97,65,61
Frigoribacterium sp. NBH87,320,1,89,26,2,6,1,,9,19,16,6,5,5,43,35,60,25,14,9,6,22,10,27,11
Sphingomonas sp. HDW15A,320,,8,4,,,3,4,5,6,1,,,,1,3,,1,,1,1,1,,,2
Pusillimonas sp. DMV24BSW_D,320,20,21,45,11,12,17,9,22,14,21,23,26,21,15,11,18,6,19,24,92,150,29,16,19
Massilia sp. erpn,320,33,82,99,48,24,56,34,108,129,121,30,19,31,33,17,30,29,26,22,25,62,51,43,39
Micromonospora auratinigra,319,1,10,32,3,1,3,6,6,,4,3,2,2,2,12,6,4,8,3,7,9,37,14,7
Caballeronia sp. Lep1P3,319,18,26,14,3,9,20,12,17,12,12,5,9,8,15,12,18,22,12,10,13,18,17,14,20
Paraburkholderia terricola,318,34,26,59,28,8,17,29,23,22,18,16,17,19,21,25,34,92,16,21,83,29,83,51,189
Agrobacterium salinitolerans,135,7,62,72,4,,10,3,13,6,15,5,8,15,4,24,23,20,19,8,10,11,12,28,14
Microbacterium sp. Se63.02b,318,,16,3,,1,2,1,,4,4,2,3,2,875,40,105,9,5,11,10,45,18,14,4
